path,genre_id,style_id
Realism/ivan-kramskoy_veranda.jpg,2,21
Naive_Art_Primitivism/camille-bombois_la-gitana-1935.jpg,6,15
Baroque/jacob-jordaens_bearded-man-stepping-down.jpg,8,4
Realism/john-singer-sargent_dorothy-barnard.jpg,8,21
Romanticism/richard-parkes-bonington_corso-sant-anastasia-verona-with-the-palace-of-prince-maffei-1826.jpg,1,23
Post_Impressionism/vincent-van-gogh_wheat-field-with-cypresses.jpg,8,20
Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-back-1885.jpg,8,21
Expressionism/ernst-ludwig-kirchner_portrait-of-art-dealer-manfred-shames-1932.jpg,6,9
Realism/fyodor-vasilyev_mountains-of-the-crimea-in-autumn.jpg,4,21
Fauvism/pyotr-konchalovsky_sketch-of-still-life-with-bread-1911.jpg,8,10
Expressionism/martiros-saryan_fantasy-1904.jpg,8,9
Art_Nouveau_Modern/boris-kustodiev_two-merchant-s-wifes-1913.jpg,6,3
Early_Renaissance/benozzo-gozzoli_st-francis-in-glory-and-saints-1.jpg,7,8
Cubism/albert-gleizes_untitled-6.jpg,2,7
Mannerism_Late_Renaissance/giorgio-vasari_coronation-of-the-virgin.jpg,7,13
Early_Renaissance/fra-angelico_saint-dominic-adoring-the-crucifixion-1442.jpg,7,8
Abstract_Expressionism/raoul-ubac_le-champ-a-l-arbre-1964.jpg,0,0
Impressionism/pierre-auguste-renoir_portrait-of-a-woman-3.jpg,6,12
High_Renaissance/michelangelo_study-of-figure-to-battle-of-cascina-1505.jpg,8,11
Color_Field_Painting/barnett-newman_who-s-afraid-of-red-yellow-and-blue-ii.jpg,0,5
Northern_Renaissance/hans-holbein-the-younger_signboard-for-a-schoolmaster-1516.jpg,2,17
Impressionism/pericles-pantazis_girl.jpg,6,12
Impressionism/claude-monet_the-artist-s-house-in-argenteuil.jpg,4,12
Symbolism/nicholas-roerich_lahaul-1932-1.jpg,4,24
Rococo/maurice-quentin-de-la-tour_charles-louis-fouquet-duke-of-belle-isle.jpg,6,22
Realism/aleksey-savrasov_sparrow-hills-near-moscow.jpg,4,21
Impressionism/stefan-luchian_vizdoage.jpg,9,12
Expressionism/toyen_on-the-kitchen-table-1929.jpg,9,9
Romanticism/dante-gabriel-rossetti_my-lady-greensleeves-1863.jpg,8,23
Impressionism/edouard-manet_young-woman-taking-a-walk-holding-an-open-umbrella-1880.jpg,2,12
Impressionism/sever-burada_springtime.jpg,4,12
Baroque/peter-paul-rubens_mulay-ahmad.jpg,6,4
Analytical_Cubism/georges-braque_a-girl(1).jpg,2,2
Realism/vasily-polenov_marguerite-garden-1882.jpg,4,21
Contemporary_Realism/eric-fischl_a-woman-posessed.jpg,2,6
Expressionism/max-beckmann_not-detected-259777.jpg,1,9
Naive_Art_Primitivism/fernand-leger_street-of-dantzig.jpg,8,15
Abstract_Expressionism/richard-pousette-dart_the-atom-one-world-1948.jpg,0,0
Realism/ivan-shishkin_bee-families-1892.jpg,4,21
Post_Impressionism/vincent-van-gogh_wheat-field-with-sun-and-cloud-1889.jpg,8,20
Impressionism/camille-pissarro_view-of-the-seine-from-the-raised-terrace-of-the-pont-neuf-1901.jpg,1,12
High_Renaissance/vittore-carpaccio_st-stephen-is-consecrated-deacon.jpg,7,11
Post_Impressionism/pablo-picasso_the-fourteenth-of-july-1901.jpg,2,20
Naive_Art_Primitivism/marc-chagall_moise-blesses-joshua-1966.jpg,7,15
Abstract_Expressionism/ad-reinhardt_number-107-1950.jpg,0,0
Post_Impressionism/pierre-bonnard_at-grand-lemps-also-known-as-the-park.jpg,4,20
Romanticism/joseph-wright_dovedale-by-moonlight.jpg,4,23
Impressionism/claude-monet_waterloo-bridge-sunlight-in-the-fog.jpg,1,12
Impressionism/camille-pissarro_primrose-hill-regent-s-park-1892.jpg,1,12
Abstract_Expressionism/cy-twombly_iii-notes-from-salalah-note-i-2007.jpg,0,0
Symbolism/salvador-dali_abraham-abraham-genesis-22-2-1967.jpg,7,24
Romanticism/ivan-aivazovsky_view-of-constantinople-1870.jpg,4,23
Realism/aleksey-savrasov_descent-to-the-river-1868.jpg,4,21
Impressionism/gustave-caillebotte_peaches-apples-and-grapes-on-a-vine-leaf.jpg,9,12
Impressionism/henri-de-toulouse-lautrec_assembly-of-hunters-1879.jpg,2,12
Art_Nouveau_Modern/ivan-bilibin_illustration-for-the-tale-of-prince-ivan-the-firebird-and-the-grey-wolf-1899-3.jpg,3,3
Impressionism/camille-pissarro_peasant-donning-her-marmotte-1882.jpg,2,12
Impressionism/claude-monet_the-pyramids-at-port-coton-1.jpg,4,12
Realism/john-singer-sargent_venetian-bead-stringers-1882.jpg,2,21
Impressionism/pierre-auguste-renoir_georges-riviere-and-margot-1876.jpg,6,12
Realism/vasily-perov_burglary-at-easter-eve-1861.jpg,2,21
Post_Impressionism/konstantinos-parthenis_vuew-of-kavala-1904.jpg,1,20
Ukiyo_e/katsushika-hokusai_manga.jpg,8,26
Symbolism/gulacsy-lajos_golgotha-1912.jpg,7,24
Mannerism_Late_Renaissance/paolo-veronese_crucifixion-1.jpg,7,13
Symbolism/mikalojus-ciurlionis_winter-vi-1907.jpg,4,24
Realism/jacek-malczewski_death-on-deportees-route-to-siberia.jpg,2,21
Early_Renaissance/fra-angelico_the-story-of-st-nicholas-st-nicholas-saves-the-ship-detail-1448.jpg,7,8
Realism/vasily-vereshchagin_fakirs-1876.jpg,2,21
Cubism/salvador-dali_bather.jpg,2,7
Realism/pyotr-konchalovsky_portrait-of-the-actress-angelina-osipovna-stepanova-1933.jpg,6,21
Realism/james-tissot_portrait-of-the-pilgrim-1894.jpg,6,21
Expressionism/mstislav-dobuzhinsky_poland-station-destroyed-by-germans.jpg,1,9
Impressionism/paul-signac_red-silk-stockings-1935.jpg,2,12
Realism/charles-francois-daubigny_washerwomen-on-the-riverbank.jpg,4,21
Post_Impressionism/henri-de-toulouse-lautrec_jane-avril-dancing-1893.jpg,2,20
Art_Nouveau_Modern/gustav-klimt_landscape-garden-meadow-in-flower.jpg,4,3
Realism/giovanni-boldini_the-actress-rejane-and-her-dog.jpg,6,21
Post_Impressionism/vladimir-dimitrov_unknown-title-8.jpg,6,20
Expressionism/paula-modersohn-becker_nude-girl-standing-1906-1.jpg,8,9
Cubism/paul-klee_senecio-1922(1).jpg,6,7
Color_Field_Painting/louis-cane_toile-d-coup-e-1991.jpg,0,5
Post_Impressionism/gustave-loiseau_pont-aven.jpg,1,20
Impressionism/pierre-auguste-renoir_landscape-near-cagnes-2.jpg,4,12
